orgvar | var | descr 

state_code | state_code | Numeric state identifier
county_code | county_code | Numeric county identifier 
site_id | site_id | Site identifier of air quality monitor
cnty_instr | cnty_instr | County non-attainment instrument. Ratio of non-attainment years during the time span 1992 to 1997
pol_90 | pol_90 | 1990 PM10 concentration
pol_dif | pol_dif | Change in PM10 concentration 2000-1990
mntr_instr | mntr_instr | Monitor non-attainment instrument. Ratio of non-attainment years during the time span 1992 to 1997
mntr_cont_instr_91 | mntr_cont_instr_91 | Equals the maximum of pm10 value in 1991 minus 50 or 0
share_white_90 | share_white_90 | Share of population that is white 1990
share_same_house_90 | share_same_house_90 | Share of households living in same house as 5 years ago
share_unemployed_90 | share_unemployed_90 | Share of population that is unemployed 1990
median_family_income_90 | median_family_income_90 | Median family income 1990
median_house_value_90 | median_house_value_90 | Median house value 1990
median_rent_90 | median_rent_90 | Median monthly rent 1990
factor | factor | CMHPI price index change 2000-1990
total_housing_units_90 | total_housing_units_90 | Total number of housing units 1990
owner_occupied_units_90 | owner_occupied_units_90 | Number of owner occupied units 1990
share_occ_own_90 | share_occ_own_90 | Share of housing units that are owner occupied 1990
pop_dense_90 | pop_dense_90 | Population density 1990
pop_dense_dif | pop_dense_dif | Change in Population density 2000-1990
total_housing_units_dif | total_housing_units_dif | Change in Total number of housing units 2000-1990
share_units_occupied_dif | share_units_occupied_dif | Change in Share of owner housing units occupied 2000-1990
share_black_dif | share_black_dif | Change in share of population that is black 2000-1990
share_white_dif | share_white_dif | Change in Share of population that is white 2000-1990
share_latino_dif | share_latino_dif | Change in share of population that is latino 2000-1990
share_kids_dif | share_kids_dif | Change in share of population that is under 5 years old 2000-1990
share_over_65_dif | share_over_65_dif | Change in share of population that is over 65 years old 2000-1990
share_foreign_born_dif | share_foreign_born_dif | Change in share of population that is foreign born 2000-1990
share_female_hhhead_dif | share_female_hhhead_dif | Change in share of households with female head 2000-1990
share_same_house_dif | share_same_house_dif | Change in share of households living in same house as 5 years ago 2000-1990
share_unemployed_dif | share_unemployed_dif | Change in Share of population that is unemployed 2000-1990
